id;company;color;wheel_base;length;owner_email;nb_cylinders;horsepower;price
334;Volvo;blue;89.56;175.9;jpaur99@smugmug.com;3.0;239;44863.0
335;Volvo;;;164.0;mmcguinley9a@springer.com;2.0;200;23578.0
336;Ford;red;113.88;204.3;jhawkeridge9b@ox.ac.uk;6.0;118;
337;Ford;black;100.69;186.1;ndunstan9c@tripadvisor.com;5.0;106;24280.0
338;Cadillac;blue;112.81;187.2;olantry9d@yellowbook.com;8.0;141;35418.0
339;GMC;;;197.1;dchingedehals9e@topsy.com;2.0;169;9717.0
340;Mitsubishi;red;94.07;177.5;gdarley9f@sina.com.cn;12.0;63;13314.0
341;Suzuki;black;92.73;207.8;ahassen9g@umich.edu;2.0;49;32637.0
342;BMW;black;89.48;158.0;ngloves9h@globo.com;4.0;138;9767.0
343;Mercedes-Benz;red;102.59;201.9;tcalven9i@ebay.com;5.0;218;
344;Saab;blue;111.04;203.2;scoldridge9j@tuttocitta.it;2.0;113;24136.0
345;Mitsubishi;red;91.74;187.6;ttittletross9k@google.com.hk;2.0;238;19475.0
346;Acura;;;164.8;wleates9l@google.com.br;4.0;73;12182.0
347;Cadillac;black;111.64;182.5;jcharge9m@google.ca;6.0;220;21412.0
348;Honda;black;102.41;176.0;bozintsev9n@themeforest.net;3.0;61;36970.0
349;Honda;red;92.89;177.2;dkulver9o@ameblo.jp;6.0;147;43190.0
350;Honda;black;95.55;177.2;fpalfrey9p@techcrunch.com;8.0;118;35192.0
351;Ford;red;112.33;205.4;tjedrys9q@netlog.com;6.0;239;26618.0
352;Mercedes-Benz;blue;112.51;170.9;dchidgey9r@oaic.gov.au;2.0;187;5611.0
353;Suzuki;red;104.16;168.6;dplant9s@scientificamerican.com;3.0;232;39535.0
354;Mazda;black;101.92;155.0;nsoar9t@un.org;12.0;64;40558.0
355;Porsche;red;104.26;181.0;hlaister9u@timesonline.co.uk;4.0;173;39781.0
356;Toyota;red;112.34;191.5;fshade9v@pbs.org;;136;37574.0
357;Ford;;;154.1;sjacomb9w@noaa.gov;8.0;136;
358;Volkswagen;red;107.27;;bmoxom9x@alibaba.com;2.0;132;36408.0
359;Suzuki;blue;88.24;144.2;mmugridge9y@google.de;2.0;56;
360;Volkswagen;;;159.6;gmagill9z@examiner.com;;52;26150.0
361;Toyota;blue;100.18;179.6;ctellenbroka0@marketwatch.com;3.0;135;15723.0
362;Toyota;black;115.67;149.5;dnelliesa1@tripod.com;4.0;131;18289.0
363;Chevrolet;black;113.94;148.1;jlushera2@ft.com;12.0;158;8818.0
364;Volvo;red;110.64;201.0;lmannocka3@dailymotion.com;3.0;89;15618.0
365;Pontiac;blue;107.61;173.0;obealea4@twitpic.com;6.0;63;33227.0
366;Hyundai;;;202.5;gmermana5@ifeng.com;12.0;127;10432.0
367;Mercury;blue;88.25;205.7;cjohnseya6@msn.com;4.0;140;37495.0
368;Chevrolet;red;114.47;164.7;sgouldsmitha7@nydailynews.com;12.0;229;35759.0
369;Suzuki;yellow;98.99;178.9;hlauchlana8@archive.org;6.0;79;35562.0
370;Ford;yellow;109.21;153.8;aemblena9@canalblog.com;6.0;87;25669.0
371;Chrysler;red;93.63;163.9;twentaa@nih.gov;12.0;219;13656.0
372;Chevrolet;red;101.55;197.9;dpeppardab@arstechnica.com;8.0;146;43250.0
373;Jeep;blue;99.63;176.0;ewestermanac@shop-pro.jp;8.0;99;31644.0
374;Ford;yellow;108.38;150.5;ofrendad@house.gov;5.0;112;44060.0
375;GMC;red;101.74;204.3;mjosowitzae@people.com.cn;4.0;122;39419.0
376;Ford;yellow;92.53;185.3;bgreschikaf@twitter.com;5.0;173;22643.0
377;BMW;black;102.09;178.7;lbirtwhistleag@miitbeian.gov.cn;;168;25485.0
378;Scion;black;92.35;173.0;jrucklesseah@sogou.com;;85;20355.0
379;Pontiac;red;97.38;142.3;gglantzai@sakura.ne.jp;5.0;161;33730.0
380;Jaguar;black;113.94;171.1;mbrunneraj@t-online.de;;70;32103.0
381;Nissan;black;117.98;174.4;jrevelleak@e-recht24.de;;216;12837.0
382;Buick;red;100.99;157.5;wmoxsonal@tinypic.com;5.0;56;29375.0
383;GMC;black;115.07;182.5;tjohlam@va.gov;4.0;152;32317.0
384;Toyota;blue;112.37;171.4;gdrinkeldan@columbia.edu;2.0;98;34184.0
385;Hyundai;yellow;105.67;179.9;ssemeniukao@amazon.de;12.0;167;14559.0
386;Pontiac;yellow;95.52;190.2;ikeymarap@ocn.ne.jp;3.0;222;
387;Eagle;red;119.71;160.5;adepietriaq@is.gd;12.0;132;35972.0
388;Chevrolet;blue;101.34;177.8;zsthillar@cnet.com;;124;22717.0
389;Toyota;blue;107.19;193.8;fbrookhouseas@twitpic.com;8.0;163;10813.0
390;Mitsubishi;yellow;117.7;153.0;dbrodneckeat@fotki.com;6.0;167;8341.0
391;Dodge;;;193.3;siczokvitzau@bbb.org;6.0;167;29749.0
392;Subaru;red;90.37;173.4;fjacoxav@g.co;6.0;49;12905.0
393;Volkswagen;red;98.25;177.0;gjervoiseaw@marketwatch.com;;66;39399.0
394;Hummer;red;96.82;179.3;ehurlingax@lycos.com;4.0;162;5675.0
395;Nissan;red;92.95;187.5;dstokeyay@jalbum.net;3.0;227;5317.0
396;Volkswagen;yellow;115.51;;agarmeyaz@hao123.com;3.0;98;31454.0
397;Chevrolet;black;89.9;201.9;bcaldesb0@cam.ac.uk;2.0;193;5991.0
398;Chrysler;blue;117.87;150.3;gboheyb1@zimbio.com;8.0;213;40875.0
399;Bentley;black;101.68;172.5;rhughillb2@tiny.cc;6.0;78;
400;GMC;;;141.2;ejaneczekb3@statcounter.com;2.0;53;14337.0
401;Ford;yellow;93.64;165.6;rtenwickb4@joomla.org;3.0;98;37928.0
402;Mazda;red;92.82;203.5;dfredeb5@wsj.com;3.0;153;6707.0
403;Mazda;red;116.12;181.1;pedneyb6@ucla.edu;12.0;92;40382.0
404;Dodge;yellow;103.45;173.3;golifardb7@google.co.uk;8.0;49;15140.0
405;Chevrolet;black;111.02;159.0;ddeenerb8@smh.com.au;12.0;132;27917.0
406;Chevrolet;red;94.8;141.3;tolivob9@amazon.com;2.0;148;7771.0
407;Chevrolet;black;90.36;170.6;drodbourneba@free.fr;;66;15712.0
408;Pontiac;blue;112.52;201.5;nphoenixbb@washington.edu;4.0;103;14888.0
409;Lincoln;black;100.31;174.3;gollisbc@topsy.com;;72;21067.0
410;Chevrolet;yellow;98.91;141.6;ascandritebd@cocolog-nifty.com;8.0;141;37951.0
411;Mazda;black;92.52;140.3;gklossekbe@opera.com;6.0;209;40788.0
412;Infiniti;yellow;106.01;170.1;kgrimwadbf@statcounter.com;;88;13327.0
413;Spyker;yellow;114.4;145.3;ndumbarbg@bloomberg.com;2.0;117;13769.0
414;Ford;yellow;97.61;204.7;ptoupebh@webmd.com;2.0;205;42086.0
415;Plymouth;black;109.35;179.3;dparkhousebi@youtube.com;6.0;195;42713.0
416;Toyota;yellow;88.74;195.1;ehawkyensbj@washington.edu;4.0;223;15141.0
417;Volkswagen;blue;110.73;143.3;mjimenobk@over-blog.com;12.0;75;25913.0
418;Ford;blue;99.23;172.1;acleavelandbl@techcrunch.com;8.0;181;17223.0
419;Infiniti;yellow;106.33;177.8;tcritchardbm@weather.com;2.0;237;12466.0
420;Mitsubishi;red;116.57;169.5;mgrewarbn@youtube.com;8.0;100;23869.0
421;Lamborghini;red;110.24;144.3;fbentkebo@rediff.com;4.0;216;15521.0
422;GMC;black;112.17;182.9;mbarnbrookbp@cornell.edu;8.0;90;39519.0
423;Acura;yellow;90.52;156.0;btruinbq@typepad.com;4.0;88;
424;Dodge;red;118.89;153.1;lpickardbr@google.es;8.0;112;8842.0
425;Pontiac;blue;104.63;141.7;mvonhelmholtzbs@digg.com;3.0;189;14164.0
426;Maserati;red;115.04;171.9;acalderobt@geocities.com;4.0;114;13129.0
427;Jeep;;;206.4;conelebu@shutterfly.com;5.0;210;42049.0
428;Subaru;red;111.93;204.8;dthoresbybv@shinystat.com;12.0;114;42509.0
429;Toyota;red;92.99;197.0;owyldborebw@elpais.com;4.0;91;10848.0
430;Toyota;red;99.71;202.7;cstlegerbx@businesswire.com;2.0;92;39333.0
431;Suzuki;;;153.8;aschuelckeby@npr.org;6.0;115;40539.0
432;Chevrolet;yellow;112.2;165.3;pthoresbybz@paginegialle.it;4.0;196;37809.0
433;Scion;blue;98.8;152.7;hdenyc0@si.edu;12.0;110;17989.0
434;Mitsubishi;red;91.09;150.4;ydishmanc1@list-manage.com;3.0;150;34575.0
435;Pontiac;blue;110.17;155.8;tisaacc2@tamu.edu;12.0;144;38559.0
436;Nissan;blue;119.29;144.8;ldeignanc3@arstechnica.com;12.0;74;36192.0
437;Nissan;black;92.18;201.5;gbarreauc4@t-online.de;4.0;160;7103.0
438;Lamborghini;red;119.23;141.2;ybovingdonc5@state.gov;8.0;120;41608.0
439;Oldsmobile;yellow;112.23;160.8;dnorridgec6@ustream.tv;6.0;89;33075.0
440;Chevrolet;yellow;95.8;206.3;jyeudec7@cocolog-nifty.com;3.0;76;17925.0
441;Suzuki;blue;95.2;190.8;pkopmannc8@sina.com.cn;5.0;56;35319.0
442;Mitsubishi;black;91.42;184.9;pshepperdc9@nymag.com;4.0;168;35345.0
443;Saturn;black;98.79;143.9;lsymcoxca@qq.com;12.0;86;17621.0
444;Dodge;;;173.7;ckitcatcb@comcast.net;12.0;84;36304.0
445;Ford;yellow;97.63;146.3;cschafercc@vistaprint.com;;164;7316.0
446;Buick;red;95.31;146.2;wgardenercd@sfgate.com;;173;28253.0
447;Toyota;black;117.66;149.5;fsievewrightce@thetimes.co.uk;;93;14536.0
448;GMC;red;93.87;200.6;wiviecf@fda.gov;6.0;89;27141.0
449;Chevrolet;black;105.5;193.4;ddikescg@webnode.com;6.0;162;6014.0
450;Porsche;;;164.5;kdaviech@google.es;8.0;64;7154.0
451;Volvo;red;111.34;168.2;mnewportci@paginegialle.it;4.0;141;29585.0
452;Mitsubishi;black;108.72;206.8;byitzhokcj@tripod.com;3.0;93;32122.0
453;Mitsubishi;blue;100.94;145.8;klightowlersck@paginegialle.it;2.0;223;33422.0
454;Ford;blue;95.34;145.3;bjancikcl@loc.gov;4.0;201;
455;Mitsubishi;yellow;112.41;170.0;agouldsmithcm@live.com;3.0;167;30554.0
456;BMW;blue;98.57;188.7;gsatecn@a8.net;8.0;174;44422.0
457;Chrysler;blue;91.9;141.8;obesnardeauco@merriam-webster.com;5.0;90;44244.0
458;Volkswagen;red;104.57;192.4;kmumbraycp@angelfire.com;6.0;121;27894.0
459;GMC;yellow;102.91;175.8;iklavescq@jugem.jp;6.0;101;38667.0
460;Chevrolet;red;114.93;;ekentcr@cnn.com;12.0;178;22031.0
461;Mazda;black;108.12;201.8;smackilpatrickcs@mit.edu;4.0;62;
462;Ford;blue;108.37;201.1;hstoakct@is.gd;8.0;142;35983.0
463;Cadillac;blue;111.9;190.7;jbloxamcu@google.it;6.0;194;8785.0
464;Volkswagen;red;100.47;199.3;gcornbillcv@arstechnica.com;8.0;241;16324.0
465;Nissan;black;90.15;147.9;mcamockcw@washington.edu;2.0;173;8898.0
466;Ford;black;113.04;155.8;jcossonscx@sakura.ne.jp;5.0;213;21633.0
467;Hyundai;blue;93.53;188.2;pkornelcy@qq.com;4.0;61;7586.0
468;Bentley;yellow;98.56;157.9;bsimoncinicz@cargocollective.com;6.0;82;7243.0
469;Mitsubishi;blue;111.85;198.3;gbennoughd0@clickbank.net;2.0;207;15288.0
470;Rolls-Royce;red;93.99;205.5;ghulkd1@loc.gov;2.0;86;21783.0
471;GMC;blue;102.99;145.4;lvellenderd2@nba.com;3.0;127;21093.0
472;Acura;red;102.99;202.6;lfollacarod3@jugem.jp;6.0;137;19470.0
473;Ford;red;101.74;157.9;tcolsond4@mysql.com;;132;40550.0
474;Kia;red;116.13;161.7;mgillinghamd5@ezinearticles.com;4.0;115;42785.0
475;Cadillac;blue;93.98;176.4;cminchintond6@storify.com;3.0;218;38802.0
476;Suzuki;;;158.2;cfilippyevd7@addthis.com;6.0;151;14048.0
477;Chevrolet;red;103.53;157.7;ffronksd8@auda.org.au;5.0;145;23607.0
478;Jeep;blue;112.17;196.9;mheinekend9@example.com;8.0;177;27000.0
479;Chrysler;blue;102.51;173.1;amolinesda@eventbrite.com;12.0;124;9575.0
480;Mercury;red;110.56;148.6;alemerydb@bigcartel.com;4.0;207;36036.0
481;Mercury;red;104.85;156.0;dcastelaindc@unc.edu;;55;44216.0
482;Toyota;blue;101.67;204.9;kdodgedd@booking.com;5.0;82;9820.0
483;Tesla;yellow;110.26;181.1;gjellybrandde@toplist.cz;6.0;113;38628.0
484;Mercedes-Benz;yellow;98.92;204.1;dcailloudf@usda.gov;4.0;162;26323.0
485;Mazda;red;99.52;188.2;nlabbatidg@live.com;12.0;133;16980.0
486;Pontiac;blue;114.95;176.6;qchottydh@amazon.co.jp;3.0;177;20002.0
487;GMC;black;107.21;153.5;ifieldendi@usnews.com;5.0;130;22641.0
488;Ford;blue;114.33;151.6;dmacnabdj@bigcartel.com;4.0;128;41643.0
489;Infiniti;black;100.71;177.8;rmcillrickdk@ebay.com;8.0;209;9152.0
490;Ford;black;118.49;175.2;troebuckdl@unicef.org;6.0;150;10650.0
491;Oldsmobile;black;94.03;154.3;tgoldspinkdm@sciencedaily.com;2.0;133;8742.0
492;Volkswagen;red;110.15;174.9;mkeepencedn@cocolog-nifty.com;;204;38818.0
493;Mazda;black;112.2;184.7;fmorfelldo@berkeley.edu;8.0;93;35413.0
494;GMC;red;91.57;174.9;dsimedp@yolasite.com;6.0;74;26750.0
495;Jaguar;blue;111.24;171.2;smayzedq@issuu.com;3.0;69;37084.0
496;Ford;black;103.38;150.2;dkeenlysidedr@joomla.org;2.0;118;9831.0
497;Hyundai;blue;109.36;177.9;msutliffds@japanpost.jp;;242;41136.0
498;BMW;blue;88.86;143.8;vbunworthdt@freewebs.com;6.0;107;26301.0
499;Saturn;yellow;88.77;147.6;smaclleesedu@tmall.com;4.0;148;34479.0
500;Toyota;blue;100.08;169.1;acarrattdv@deliciousdays.com;5.0;74;41723.0
501;Audi;yellow;99.93;150.4;droseamandw@purevolume.com;8.0;59;24018.0
502;Lexus;blue;111.48;151.3;smatteinidx@51.la;8.0;120;42937.0
503;Land Rover;red;113.58;;gfaradydy@1688.com;2.0;164;5003.0
504;Maybach;yellow;97.83;144.7;eselleydz@google.pl;3.0;80;36174.0
505;Honda;;;204.7;atothere0@about.me;12.0;58;
506;Mitsubishi;yellow;116.51;162.9;yhagertye1@wix.com;3.0;227;14039.0
507;Panoz;blue;94.06;162.6;fgooke2@bloomberg.com;2.0;160;37071.0
508;Dodge;blue;106.73;184.4;ttakose3@princeton.edu;6.0;176;
509;BMW;black;102.54;169.9;asainsburybrowne4@tamu.edu;6.0;176;22402.0
510;Lincoln;yellow;90.02;146.6;hdobiee5@bing.com;12.0;118;14582.0
511;Lincoln;blue;92.1;153.4;tgribbene6@google.com.br;;236;44429.0
512;Volvo;;;194.2;jmoone7@163.com;3.0;87;40279.0
513;Infiniti;red;96.78;158.6;ocaprone8@census.gov;12.0;219;9101.0
514;Honda;yellow;113.18;161.1;aogarmene9@ustream.tv;5.0;188;24596.0
515;Toyota;black;91.27;;vkasherea@naver.com;8.0;58;38829.0
516;Aston Martin;yellow;114.76;171.5;bgimbereb@umn.edu;8.0;61;15388.0
517;Honda;red;104.82;182.6;nboveyec@arizona.edu;5.0;90;33047.0
518;Dodge;black;108.12;181.8;gsotherned@pcworld.com;3.0;63;16664.0
519;Buick;red;96.29;172.5;jkohlermanee@businessinsider.com;4.0;163;13636.0
520;Lincoln;blue;98.77;149.9;cyellowleeef@woothemes.com;8.0;184;5007.0
521;Mazda;red;91.93;207.6;qsamueleg@example.com;8.0;60;31692.0
522;Chevrolet;blue;101.68;199.0;priglesfordeh@shop-pro.jp;5.0;192;17687.0
523;Cadillac;red;91.98;195.8;mmataninei@bluehost.com;8.0;113;37528.0
524;Lincoln;black;98.31;152.7;jcurnnokkej@studiopress.com;12.0;60;12056.0
525;Mercedes-Benz;red;105.57;191.5;aweagenerek@freewebs.com;12.0;128;44736.0
526;Lincoln;blue;114.52;179.4;lninottiel@google.com;12.0;126;35052.0
527;Buick;yellow;107.5;151.3;jmccoughanem@cam.ac.uk;5.0;153;17003.0
528;Plymouth;blue;107.86;197.3;groscoeen@i2i.jp;5.0;108;15132.0
529;Ford;black;106.68;206.8;nclemmenseneo@joomla.org;8.0;154;34658.0
530;Cadillac;red;119.34;191.6;jbeanyep@yahoo.com;4.0;58;41440.0
531;Ford;yellow;102.12;198.8;npachereq@unblog.fr;4.0;162;7312.0
532;Scion;blue;89.64;145.0;bmahooder@pcworld.com;;59;27906.0
533;Mazda;;;185.5;kwinstones@aol.com;6.0;217;7848.0
534;Scion;red;115.59;174.1;wwiltonet@ycombinator.com;3.0;157;17882.0
535;Mercury;red;118.39;159.9;kmoodeyeu@macromedia.com;8.0;50;18855.0
536;Dodge;yellow;112.57;156.3;kmussottiev@bloglines.com;6.0;60;13842.0
537;Dodge;yellow;114.53;207.4;wdeguiseew@cnet.com;8.0;85;41117.0
538;Mazda;red;103.87;203.6;fbartosinskiex@geocities.jp;3.0;181;28744.0
539;Ford;yellow;113.58;191.9;kfalley@oaic.gov.au;6.0;106;26225.0
540;Toyota;blue;95.2;146.5;ltibbsez@opensource.org;4.0;178;35049.0
541;Ford;black;114.03;205.9;stomainof0@eepurl.com;3.0;112;36857.0
542;Pontiac;red;96.28;204.7;kcomfortf1@google.de;5.0;138;15517.0
543;Volvo;red;100.72;180.8;gmorstonf2@squidoo.com;;208;5193.0
544;Mercedes-Benz;yellow;97.98;159.9;taverallf3@ustream.tv;5.0;136;8865.0
545;Toyota;;;187.4;lcameranaf4@dmoz.org;4.0;113;7467.0
546;Dodge;blue;114.19;151.1;hfutcherf5@pagesperso-orange.fr;2.0;134;27286.0
547;Chrysler;red;104.69;186.7;lmathersonf6@adobe.com;6.0;188;32536.0
548;Buick;black;93.85;205.9;bgocherf7@blogs.com;12.0;132;17187.0
549;MINI;black;105.83;183.1;dchittockf8@amazon.co.jp;5.0;70;6327.0
550;Ford;red;92.1;145.3;nbranchf9@independent.co.uk;6.0;64;23054.0
551;Jeep;red;110.99;147.7;plintillfa@ning.com;2.0;106;
552;Acura;;;165.9;dbaylessfb@mozilla.com;2.0;164;34861.0
553;BMW;yellow;98.19;191.4;hkollatschfc@shareasale.com;4.0;149;5567.0
554;Mazda;black;106.11;194.7;afribergfd@bandcamp.com;3.0;184;17779.0
555;Daewoo;yellow;92.11;197.9;jdugganfe@ebay.co.uk;12.0;159;31341.0
556;Mercedes-Benz;red;102.31;173.7;ccayleyff@linkedin.com;2.0;205;12778.0
557;Chevrolet;;;164.6;aisakssonfg@taobao.com;3.0;157;43103.0
558;Dodge;yellow;112.1;143.0;ssydenhamfh@adobe.com;;103;5089.0
559;Acura;yellow;97.44;149.3;eboggonfi@discuz.net;5.0;141;6488.0
560;Isuzu;;;182.3;lchasneyfj@fda.gov;5.0;219;36105.0
561;GMC;yellow;104.25;159.7;dgonnellyfk@weather.com;5.0;224;19050.0
562;GMC;blue;112.9;204.9;mpikettfl@ox.ac.uk;8.0;95;18754.0
563;Acura;black;92.53;140.2;asottellfm@xing.com;3.0;65;30831.0
564;GMC;;;191.3;jbertolinfn@ovh.net;;204;40571.0
565;Geo;red;114.88;147.9;sguittefo@nps.gov;;167;7669.0
566;Ford;blue;97.03;146.1;drowntreefp@flickr.com;4.0;207;41435.0
567;Mazda;yellow;94.33;205.8;emartinekfq@fotki.com;3.0;131;22664.0
568;Mazda;red;108.83;152.0;wfairfoulfr@goo.gl;4.0;181;21623.0
569;Volkswagen;red;109.09;;gcraydonfs@hubpages.com;12.0;142;8450.0
570;Isuzu;black;115.13;174.5;tcongraveft@exblog.jp;8.0;156;20052.0
571;Mercedes-Benz;;;169.0;bsymsfu@cbc.ca;4.0;120;33536.0
572;Chevrolet;yellow;117.35;207.8;lphettefv@google.de;5.0;198;12339.0
573;BMW;red;105.32;157.1;dtetsallfw@cloudflare.com;;209;23030.0
574;Ford;yellow;102.55;171.5;mhansfordfx@wisc.edu;12.0;123;34124.0
575;Audi;blue;94.33;171.5;cgladwishfy@amazon.de;12.0;223;8257.0
576;Nissan;blue;105.56;160.5;mcasselyfz@yandex.ru;4.0;83;20830.0
577;Toyota;yellow;98.93;158.1;lhixsong0@quantcast.com;5.0;77;10680.0
578;Lincoln;;;;djudrong1@multiply.com;3.0;148;18690.0
579;Pontiac;blue;111.68;152.0;risenorg2@pagesperso-orange.fr;12.0;180;13410.0
580;Dodge;blue;92.38;200.2;hmongaing3@rambler.ru;5.0;182;8886.0
581;BMW;black;103.4;199.1;rwoolertong4@opera.com;12.0;115;24301.0
582;Chevrolet;yellow;95.07;155.1;asauntong5@marriott.com;12.0;228;11420.0
583;Hyundai;red;97.93;189.5;amendesg6@spotify.com;5.0;125;23951.0
584;Toyota;black;101.43;169.7;hmonikerg7@vinaora.com;12.0;241;30977.0
585;Mercedes-Benz;blue;95.54;157.2;ybowcockg8@fotki.com;4.0;164;14576.0
586;Ford;black;117.3;155.0;cfreeburyg9@godaddy.com;6.0;195;28745.0
587;Toyota;black;111.14;144.7;hdensellga@slate.com;2.0;146;21394.0
588;Corbin;yellow;95.88;207.8;ccallwaygb@phoca.cz;5.0;136;7767.0
589;Infiniti;yellow;94.53;184.1;lfarrongc@blogger.com;6.0;54;32301.0
590;BMW;blue;110.14;189.6;lskippinggd@amazon.com;2.0;56;10023.0
591;Dodge;black;101.23;173.0;ekristiansenge@simplemachines.org;12.0;97;
592;Chrysler;yellow;112.53;205.1;chosbygf@odnoklassniki.ru;5.0;173;44210.0
593;GMC;red;95.04;178.1;bavisgg@accuweather.com;8.0;64;23297.0
594;Toyota;red;108.73;155.4;hcleverlygh@yelp.com;4.0;107;
595;Subaru;black;100.01;147.1;lsandongi@youku.com;12.0;103;18210.0
596;Nissan;yellow;96.74;205.0;htrawingj@nba.com;6.0;164;26430.0
597;Cadillac;black;115.27;190.7;jklawigk@shinystat.com;3.0;106;41486.0
598;Daihatsu;yellow;104.85;142.6;ibraniffgl@bandcamp.com;12.0;125;37106.0
599;Toyota;yellow;100.89;199.3;mbranthwaitegm@mozilla.com;5.0;108;15804.0
600;Jeep;red;118.3;199.5;bpursegn@bbb.org;6.0;213;44363.0
601;Lexus;blue;106.3;197.7;omurielgo@washingtonpost.com;5.0;115;5697.0
602;Jeep;yellow;112.01;185.8;waronovgp@mtv.com;12.0;66;23198.0
603;Saturn;red;113.05;176.0;rfetteplacegq@nba.com;4.0;180;40589.0
604;Lamborghini;yellow;116.85;153.7;zgliddergr@businessinsider.com;6.0;61;29562.0
605;GMC;black;97.69;149.8;ecasillisgs@linkedin.com;3.0;190;13046.0
606;Lotus;red;106.83;207.7;afryattgt@tinyurl.com;6.0;221;27550.0
607;Mitsubishi;black;118.49;163.6;hgravestonegu@cdc.gov;5.0;204;31237.0
608;Audi;blue;105.57;200.5;spackingtongv@earthlink.net;4.0;192;40600.0
609;Porsche;black;105.83;172.3;ritzaksongw@msn.com;2.0;203;36293.0
610;Ford;yellow;111.08;193.5;gbruhnkegx@newsvine.com;6.0;63;30161.0
611;Dodge;blue;112.57;164.7;ltatlockgy@pbs.org;12.0;170;12714.0
612;Lexus;yellow;104.05;204.9;cgymblettgz@ning.com;2.0;51;20982.0
613;Chevrolet;;;167.1;soverallh0@scientificamerican.com;6.0;53;11527.0
614;Ford;black;113.19;184.2;mjayh1@lycos.com;5.0;58;12339.0
615;Mitsubishi;black;117.26;195.1;jpetegreh2@pen.io;5.0;218;30242.0
616;Toyota;yellow;107.47;164.8;cdingleyh3@trellian.com;4.0;83;29310.0
617;Buick;blue;90.95;204.0;mfanth4@imdb.com;;124;44669.0
618;Chevrolet;blue;96.15;199.6;lgeroldoh5@cafepress.com;6.0;162;41876.0
619;Toyota;yellow;117.4;177.4;ccettellh6@amazon.co.jp;3.0;60;19006.0
620;Daewoo;red;119.25;179.2;bgoodbournh7@xing.com;12.0;124;32643.0
621;Mitsubishi;black;91.59;169.3;sfitzerh8@skype.com;8.0;106;6526.0
622;Mitsubishi;black;106.84;168.2;tmargachh9@fotki.com;3.0;210;
623;Toyota;yellow;103.06;187.6;jbernardinelliha@de.vu;;76;36462.0
624;Infiniti;red;105.88;204.7;lribeirohb@dion.ne.jp;3.0;220;10335.0
625;Toyota;black;108.39;193.1;eleesehc@prnewswire.com;6.0;67;29379.0
626;Mazda;yellow;107.84;182.1;pstrelitzkihd@miitbeian.gov.cn;5.0;69;14859.0
627;Mercedes-Benz;yellow;105.36;174.9;bbartkowiakhe@webeden.co.uk;12.0;85;18380.0
628;GMC;red;103.7;179.7;dsayehf@zimbio.com;2.0;200;23982.0
629;Honda;blue;104.81;141.5;jsobeyhg@imageshack.us;12.0;76;6066.0
630;Mercedes-Benz;yellow;115.02;183.9;tsoothh@e-recht24.de;;66;11496.0
631;Pontiac;yellow;103.29;204.4;rhryskiewiczhi@networksolutions.com;12.0;127;5532.0
632;Plymouth;;;140.7;lpeckhamhj@unblog.fr;12.0;72;33901.0
633;Pontiac;;;142.1;glissandrihk@vinaora.com;3.0;192;42807.0
634;Eagle;yellow;104.89;173.1;udahlhl@cafepress.com;12.0;145;25779.0
635;Mercedes-Benz;black;91.75;204.3;bdungayhm@rediff.com;6.0;226;12654.0
636;Mitsubishi;;;174.4;bspareyhn@adobe.com;6.0;206;39622.0
637;Acura;black;94.47;160.3;adawsonho@japanpost.jp;2.0;167;23914.0
638;Ford;red;88.19;164.8;cdunicanhp@multiply.com;12.0;240;15424.0
639;Nissan;black;113.06;194.4;lsayerhq@nationalgeographic.com;6.0;197;24119.0
640;Volkswagen;red;95.8;147.3;bdillintonehr@virginia.edu;6.0;177;18156.0
641;Ford;blue;95.78;191.1;speegremhs@youku.com;4.0;219;11827.0
642;Porsche;blue;103.9;201.4;gbuxcyht@posterous.com;4.0;165;35909.0
643;Volkswagen;black;115.18;156.4;osimmshu@washington.edu;;143;20209.0
644;Dodge;black;89.51;207.9;cohalloranhv@umn.edu;6.0;188;29244.0
645;Volkswagen;black;90.66;143.1;nportugalhw@chronoengine.com;2.0;236;44596.0
646;GMC;red;113.0;188.5;hiberthx@ucoz.com;;140;23725.0
647;Toyota;red;107.27;179.5;wleggshy@bbb.org;;160;27409.0
648;Chevrolet;black;119.31;158.4;hglendzerhz@nytimes.com;4.0;242;37201.0
649;Oldsmobile;black;111.56;191.9;rportwainei0@biglobe.ne.jp;12.0;176;32548.0
650;Infiniti;blue;97.96;190.5;tkrugmanni1@java.com;4.0;202;38568.0
651;Dodge;blue;98.23;143.8;gwilcotti2@mayoclinic.com;3.0;236;19199.0
652;Porsche;red;105.48;198.6;vcannani3@elegantthemes.com;8.0;212;43859.0
653;Subaru;blue;91.33;171.0;ahalheadi4@google.com.au;;105;9846.0
654;Kia;yellow;89.1;184.9;edabrowskii5@miitbeian.gov.cn;3.0;207;18745.0
655;Mercedes-Benz;red;101.34;184.4;middoni6@elpais.com;;113;12699.0
656;GMC;red;112.6;156.9;cgillbanksi7@who.int;5.0;223;41141.0
657;Buick;blue;95.8;203.1;tbillingi8@blogger.com;8.0;53;14657.0
658;Audi;red;118.94;178.0;selkini9@pagesperso-orange.fr;5.0;156;
659;Infiniti;blue;106.93;165.8;ccatlowia@boston.com;4.0;159;37838.0
660;Pontiac;black;97.61;146.6;lbellhouseib@ed.gov;2.0;229;30401.0
661;Chevrolet;red;98.73;185.3;nflaonieric@1und1.de;8.0;61;18980.0
662;Chevrolet;black;118.42;206.9;mdelavaletteparisotid@cornell.edu;3.0;125;9888.0
